,State,Year,Median Income
223,Maine,2008,47230
638,Maine,2009,47230
639,Maine,2010,47230
172,Maine,2011,49690
121,Maine,2012,49160
640,Maine,2013,49160
70,Maine,2014,51710
19,Maine,2015,50760
530,Maryland,2001,53530
479,Maryland,2002,56410
428,Maryland,2003,52310
641,Maryland,2004,52310
377,Maryland,2005,60510
326,Maryland,2006,63670
275,Maryland,2007,65630
224,Maryland,2008,63710
642,Maryland,2009,63710
643,Maryland,2010,63710
173,Maryland,2011,68880
122,Maryland,2012,71840
644,Maryland,2013,71840
71,Maryland,2014,76170
20,Maryland,2015,73590
531,Massachusetts,2001,52250
480,Massachusetts,2002,49860
429,Massachusetts,2003,50960
645,Massachusetts,2004,50960
378,Massachusetts,2005,56020
327,Massachusetts,2006,55330
276,Massachusetts,2007,58460
225,Massachusetts,2008,60320
646,Massachusetts,2009,60320
647,Massachusetts,2010,60320
174,Massachusetts,2011,63310
123,Massachusetts,2012,63660
648,Massachusetts,2013,63660
72,Massachusetts,2014,63150
21,Massachusetts,2015,67860
532,Michigan,2001,45050
481,Michigan,2002,42720
430,Michigan,2003,45020
649,Michigan,2004,45020
379,Michigan,2005,45930
328,Michigan,2006,48650
277,Michigan,2007,49370
226,Michigan,2008,49790
650,Michigan,2009,49790
651,Michigan,2010,49790
175,Michigan,2011,48880
124,Michigan,2012,50020
652,Michigan,2013,50020
73,Michigan,2014,52010
22,Michigan,2015,54200
533,Minnesota,2001,52680
482,Minnesota,2002,54620
431,Minnesota,2003,52820
653,Minnesota,2004,52820
380,Minnesota,2005,54220
329,Minnesota,2006,56210
278,Minnesota,2007,58060
227,Minnesota,2008,54930
654,Minnesota,2009,54930
655,Minnesota,2010,54930
176,Minnesota,2011,57820
125,Minnesota,2012,61800
656,Minnesota,2013,61800
74,Minnesota,2014,67240
23,Minnesota,2015,68730
534,Mississippi,2001,30160
483,Mississippi,2002,30880
432,Mississippi,2003,32730
657,Mississippi,2004,32730
381,Mississippi,2005,32880
330,Mississippi,2006,34730
279,Mississippi,2007,37280
228,Mississippi,2008,36450
658,Mississippi,2009,36450
659,Mississippi,2010,36450
177,Mississippi,2011,41090
126,Mississippi,2012,36640
660,Mississippi,2013,36640
75,Mississippi,2014,35520
24,Mississippi,2015,40040
535,Missouri,2001,41340
484,Missouri,2002,42780
433,Missouri,2003,43760
661,Missouri,2004,43760
382,Missouri,2005,42990
331,Missouri,2006,44580
280,Missouri,2007,46010
229,Missouri,2008,46040
662,Missouri,2009,46040
663,Missouri,2010,46040
178,Missouri,2011,45770
127,Missouri,2012,49760
664,Missouri,2013,49760
76,Missouri,2014,56630
25,Missouri,2015,59200
536,Montana,2001,32130
485,Montana,2002,34840
434,Montana,2003,34110
665,Montana,2004,34110
383,Montana,2005,37310
332,Montana,2006,41110
281,Montana,2007,43660
230,Montana,2008,42900
666,Montana,2009,42900
667,Montana,2010,42900
179,Montana,2011,40280
128,Montana,2012,45090
668,Montana,2013,45090
77,Montana,2014,51100
26,Montana,2015,51400
537,Nebraska,2001,43610
486,Nebraska,2002,42800
435,Nebraska,2003,43970
669,Nebraska,2004,43970
384,Nebraska,2005,47920
333,Nebraska,2006,48150
282,Nebraska,2007,49170
231,Nebraska,2008,50730
670,Nebraska,2009,50730
671,Nebraska,2010,50730
180,Nebraska,2011,55620
129,Nebraska,2012,52200
672,Nebraska,2013,52200
78,Nebraska,2014,56870
27,Nebraska,2015,60470
538,Nevada,2001,45400
487,Nevada,2002,44960
436,Nevada,2003,45180
673,Nevada,2004,45180
385,Nevada,2005,48210
334,Nevada,2006,52280
283,Nevada,2007,54060
232,Nevada,2008,54740
674,Nevada,2009,54740
675,Nevada,2010,54740
181,Nevada,2011,47040
130,Nevada,2012,47330
676,Nevada,2013,47330
79,Nevada,2014,49880
28,Nevada,2015,52010
539,New Hampshire,2001,51330
488,New Hampshire,2002,55320
437,New Hampshire,2003,55570
677,New Hampshire,2004,55570
386,New Hampshire,2005,56980
335,New Hampshire,2006,61970
284,New Hampshire,2007,67580
233,New Hampshire,2008,66180
678,New Hampshire,2009,66180
679,New Hampshire,2010,66180
182,New Hampshire,2011,65880
131,New Hampshire,2012,67820
680,New Hampshire,2013,67820
80,New Hampshire,2014,73400
29,New Hampshire,2015,75680
540,New Jersey,2001,51770
489,New Jersey,2002,54570
438,New Jersey,2003,56050
681,New Jersey,2004,56050
387,New Jersey,2005,63370
336,New Jersey,2006,68060
285,New Jersey,2007,60510
234,New Jersey,2008,65310
682,New Jersey,2009,65310
683,New Jersey,2010,65310
183,New Jersey,2011,62340
132,New Jersey,2012,66690
684,New Jersey,2013,66690
81,New Jersey,2014,65240
30,New Jersey,2015,68360
541,New Mexico,2001,33120
490,New Mexico,2002,35460
439,New Mexico,2003,35110
685,New Mexico,2004,35110
388,New Mexico,2005,38950
337,New Mexico,2006,40030
286,New Mexico,2007,44360
235,New Mexico,2008,42100
686,New Mexico,2009,42100
687,New Mexico,2010,42100
184,New Mexico,2011,41980
133,New Mexico,2012,43420
688,New Mexico,2013,43420
82,New Mexico,2014,46690
31,New Mexico,2015,45120
542,New York,2001,42110
491,New York,2002,41970
440,New York,2003,42790
689,New York,2004,42790
389,New York,2005,47180
338,New York,2006,48220
287,New York,2007,48940
236,New York,2008,50460
690,New York,2009,50460
691,New York,2010,50460
185,New York,2011,50640
134,New York,2012,47680
692,New York,2013,47680
83,New York,2014,54310
32,New York,2015,58010
543,North Carolina,2001,38160
492,North Carolina,2002,36520
441,North Carolina,2003,37280
693,North Carolina,2004,37280
390,North Carolina,2005,42060
339,North Carolina,2006,39800
288,North Carolina,2007,43510
237,North Carolina,2008,42930
694,North Carolina,2009,42930
695,North Carolina,2010,42930
186,North Carolina,2011,45210
135,North Carolina,2012,41550
696,North Carolina,2013,41550
84,North Carolina,2014,46780
33,North Carolina,2015,50800
544,North Dakota,2001,35790
493,North Dakota,2002,36200
442,North Dakota,2003,40410
697,North Dakota,2004,40410
391,North Dakota,2005,42190
340,North Dakota,2006,41050
289,North Dakota,2007,47210
238,North Dakota,2008,49630
698,North Dakota,2009,49630
699,North Dakota,2010,49630
187,North Dakota,2011,56360
136,North Dakota,2012,55770
700,North Dakota,2013,55770
85,North Dakota,2014,60730
34,North Dakota,2015,57420
545,Ohio,2001,41790
494,Ohio,2002,42680
443,Ohio,2003,43520
701,Ohio,2004,43520
392,Ohio,2005,44200
341,Ohio,2006,45900
290,Ohio,2007,49100
239,Ohio,2008,46930
702,Ohio,2009,46930
703,Ohio,2010,46930
188,Ohio,2011,44650
137,Ohio,2012,44380
704,Ohio,2013,44380
86,Ohio,2014,49640
35,Ohio,2015,53300
546,Oklahoma,2001,35610
495,Oklahoma,2002,36460
444,Oklahoma,2003,35900
705,Oklahoma,2004,35900
393,Oklahoma,2005,37650
342,Oklahoma,2006,38840
291,Oklahoma,2007,43220
240,Oklahoma,2008,46110
706,Oklahoma,2009,46110
707,Oklahoma,2010,46110
189,Oklahoma,2011,48460
138,Oklahoma,2012,48410
708,Oklahoma,2013,48410
87,Oklahoma,2014,47200
36,Oklahoma,2015,47080
547,Oregon,2001,41270
496,Oregon,2002,41800
445,Oregon,2003,41640
709,Oregon,2004,41640
394,Oregon,2005,44160
343,Oregon,2006,47090
292,Oregon,2007,50240
241,Oregon,2008,51730
710,Oregon,2009,51730
711,Oregon,2010,51730
190,Oregon,2011,51530
139,Oregon,2012,51780
712,Oregon,2013,51780
88,Oregon,2014,58880
37,Oregon,2015,60830
548,Pennsylvania,2001,43500
497,Pennsylvania,2002,42500
446,Pennsylvania,2003,42930
713,Pennsylvania,2004,42930
395,Pennsylvania,2005,46300
344,Pennsylvania,2006,48480
293,Pennsylvania,2007,48440
242,Pennsylvania,2008,51400
714,Pennsylvania,2009,51400
715,Pennsylvania,2010,51400
191,Pennsylvania,2011,49910
140,Pennsylvania,2012,51900
716,Pennsylvania,2013,51900
89,Pennsylvania,2014,55170
38,Pennsylvania,2015,60390
549,Rhode Island,2001,45720
498,Rhode Island,2002,42420
447,Rhode Island,2003,44710
717,Rhode Island,2004,44710
396,Rhode Island,2005,49480
345,Rhode Island,2006,53740
294,Rhode Island,2007,54210
243,Rhode Island,2008,53240
718,Rhode Island,2009,53240
719,Rhode Island,2010,53240
192,Rhode Island,2011,49030
141,Rhode Island,2012,56070
720,Rhode Island,2013,56070
90,Rhode Island,2014,58630
39,Rhode Island,2015,55700
550,South Carolina,2001,37740
499,South Carolina,2002,37810
448,South Carolina,2003,38480
721,South Carolina,2004,38480
397,South Carolina,2005,40230
346,South Carolina,2006,39620
295,South Carolina,2007,44210
244,South Carolina,2008,42160
722,South Carolina,2009,42160
723,South Carolina,2010,42160
193,South Carolina,2011,40080
142,South Carolina,2012,44400
724,South Carolina,2013,44400
91,South Carolina,2014,44930
40,South Carolina,2015,46360
551,South Dakota,2001,39670
500,South Dakota,2002,37870
449,South Dakota,2003,39520
725,South Dakota,2004,39520
398,South Dakota,2005,43150
347,South Dakota,2006,45430
296,South Dakota,2007,46420
245,South Dakota,2008,51600
726,South Dakota,2009,51600
727,South Dakota,2010,51600
194,South Dakota,2011,47220
143,South Dakota,2012,49420
728,South Dakota,2013,49420
92,South Dakota,2014,53050
41,South Dakota,2015,55070
552,Tennessee,2001,35780
501,Tennessee,2002,37030
450,Tennessee,2003,37520
729,Tennessee,2004,37520
399,Tennessee,2005,39410
348,Tennessee,2006,40690
297,Tennessee,2007,41200
246,Tennessee,2008,39700
730,Tennessee,2009,39700
731,Tennessee,2010,39700
195,Tennessee,2011,42280
144,Tennessee,2012,43000
732,Tennessee,2013,43000
93,Tennessee,2014,43720
42,Tennessee,2015,47330
553,Texas,2001,40860
502,Texas,2002,40150
451,Texas,2003,39270
733,Texas,2004,39270
400,Texas,2005,41420
349,Texas,2006,43310
298,Texas,2007,46050
247,Texas,2008,46490
734,Texas,2009,46490
735,Texas,2010,46490
196,Texas,2011,49050
145,Texas,2012,51930
736,Texas,2013,51930
94,Texas,2014,53880
43,Texas,2015,56470
554,Utah,2001,47340
503,Utah,2002,47860
452,Utah,2003,49280
737,Utah,2004,49280
401,Utah,2005,54810
350,Utah,2006,54630
299,Utah,2007,53530
248,Utah,2008,62540
738,Utah,2009,62540
739,Utah,2010,62540
197,Utah,2011,55490
146,Utah,2012,58340
740,Utah,2013,58340
95,Utah,2014,63380
44,Utah,2015,66260
555,Vermont,2001,40790
504,Vermont,2002,43000
453,Vermont,2003,43260
741,Vermont,2004,43260
402,Vermont,2005,50700
351,Vermont,2006,51980
300,Vermont,2007,47390
249,Vermont,2008,50710
742,Vermont,2009,50710
743,Vermont,2010,50710
198,Vermont,2011,51860
147,Vermont,2012,55580
744,Vermont,2013,55580
96,Vermont,2014,60710
45,Vermont,2015,59490
556,Virginia,2001,50240
505,Virginia,2002,49630
454,Virginia,2003,54780
745,Virginia,2004,54780
403,Virginia,2005,51910
352,Virginia,2006,57120
301,Virginia,2007,59160
250,Virginia,2008,61990
746,Virginia,2009,61990
747,Virginia,2010,61990
199,Virginia,2011,62620
148,Virginia,2012,64630
748,Virginia,2013,64630
97,Virginia,2014,66160
46,Virginia,2015,61490
557,Washington,2001,42490
506,Washington,2002,45180
455,Washington,2003,47510
749,Washington,2004,47510
404,Washington,2005,50650
353,Washington,2006,54720
302,Washington,2007,58080
251,Washington,2008,56630
750,Washington,2009,56630
751,Washington,2010,56630
200,Washington,2011,56850
149,Washington,2012,62190
752,Washington,2013,62190
98,Washington,2014,59070
47,Washington,2015,67240
558,West Virginia,2001,29670
507,West Virginia,2002,29360
456,West Virginia,2003,32760
753,West Virginia,2004,32760
405,West Virginia,2005,36450
354,West Virginia,2006,38420
303,West Virginia,2007,42090
252,West Virginia,2008,37990
754,West Virginia,2009,37990
755,West Virginia,2010,37990
201,West Virginia,2011,41820
150,West Virginia,2012,43550
756,West Virginia,2013,43550
99,West Virginia,2014,39550
48,West Virginia,2015,42820
559,Wisconsin,2001,45350
508,Wisconsin,2002,45900
457,Wisconsin,2003,46270
757,Wisconsin,2004,46270
406,Wisconsin,2005,44650
355,Wisconsin,2006,51690
304,Wisconsin,2007,51280
253,Wisconsin,2008,51200
758,Wisconsin,2009,51200
759,Wisconsin,2010,51200
202,Wisconsin,2011,52060
151,Wisconsin,2012,53080
760,Wisconsin,2013,53080
100,Wisconsin,2014,58080
49,Wisconsin,2015,55430
560,Wyoming,2001,39720
509,Wyoming,2002,39760
458,Wyoming,2003,42560
761,Wyoming,2004,42560
407,Wyoming,2005,44720
356,Wyoming,2006,47040
305,Wyoming,2007,48740
254,Wyoming,2008,53340
762,Wyoming,2009,53340
763,Wyoming,2010,53340
203,Wyoming,2011,54510
152,Wyoming,2012,57510
764,Wyoming,2013,57510
101,Wyoming,2014,55690
50,Wyoming,2015,60930
