,State,Year,Median Income
510,Alabama,2001,35160
459,Alabama,2002,37600
408,Alabama,2003,37260
561,Alabama,2004,37260
357,Alabama,2005,37150
306,Alabama,2006,37950
255,Alabama,2007,42210
204,Alabama,2008,44480
562,Alabama,2009,44480
563,Alabama,2010,44480
153,Alabama,2011,42590
102,Alabama,2012,43460
564,Alabama,2013,43460
51,Alabama,2014,42280
0,Alabama,2015,44510
511,Alaska,2001,57360
460,Alaska,2002,52770
409,Alaska,2003,51840
565,Alaska,2004,51840
358,Alaska,2005,55890
307,Alaska,2006,56420
256,Alaska,2007,62990
205,Alaska,2008,63990
566,Alaska,2009,63990
567,Alaska,2010,63990
154,Alaska,2011,57430
103,Alaska,2012,63650
568,Alaska,2013,63650
52,Alaska,2014,67630
1,Alaska,2015,75110
512,Arizona,2001,42700
461,Arizona,2002,39730
410,Arizona,2003,41170
569,Arizona,2004,41170
359,Arizona,2005,45250
308,Arizona,2006,46660
257,Arizona,2007,47220
206,Arizona,2008,46910
570,Arizona,2009,46910
571,Arizona,2010,46910
155,Arizona,2011,48620
104,Arizona,2012,47040
572,Arizona,2013,47040
53,Arizona,2014,49250
2,Arizona,2015,52250
513,Arkansas,2001,33340
462,Arkansas,2002,32390
411,Arkansas,2003,32000
573,Arkansas,2004,32000
360,Arkansas,2005,36660
309,Arkansas,2006,37060
258,Arkansas,2007,40800
207,Arkansas,2008,39590
574,Arkansas,2009,39590
575,Arkansas,2010,39590
156,Arkansas,2011,41300
105,Arkansas,2012,39020
576,Arkansas,2013,39020
54,Arkansas,2014,44920
3,Arkansas,2015,42800
514,California,2001,47260
463,California,2002,47440
412,California,2003,49300
577,California,2004,49300
361,California,2005,51760
310,California,2006,55320
259,California,2007,55730
208,California,2008,57010
578,California,2009,57010
579,California,2010,57010
157,California,2011,53370
106,California,2012,57020
580,California,2013,57020
55,California,2014,60490
4,California,2015,63640
515,Colorado,2001,49400
464,Colorado,2002,48290
413,Colorado,2003,49940
581,Colorado,2004,49940
362,Colorado,2005,50450
311,Colorado,2006,55700
260,Colorado,2007,61140
209,Colorado,2008,60940
582,Colorado,2009,60940
583,Colorado,2010,60940
158,Colorado,2011,58630
107,Colorado,2012,57260
584,Colorado,2013,57260
56,Colorado,2014,60940
5,Colorado,2015,66600
516,Connecticut,2001,53350
465,Connecticut,2002,53390
414,Connecticut,2003,54970
585,Connecticut,2004,54970
363,Connecticut,2005,56840
312,Connecticut,2006,62400
261,Connecticut,2007,64140
210,Connecticut,2008,64680
586,Connecticut,2009,64680
587,Connecticut,2010,64680
159,Connecticut,2011,65420
108,Connecticut,2012,64250
588,Connecticut,2013,64250
57,Connecticut,2014,70160
6,Connecticut,2015,72890
517,Delaware,2001,49600
466,Delaware,2002,49650
415,Delaware,2003,49020
589,Delaware,2004,49020
364,Delaware,2005,51240
313,Delaware,2006,52440
262,Delaware,2007,54590
211,Delaware,2008,50700
590,Delaware,2009,50700
591,Delaware,2010,50700
160,Delaware,2011,54660
109,Delaware,2012,48970
592,Delaware,2013,48970
58,Delaware,2014,57520
7,Delaware,2015,57760
518,District of Columbia,2001,41170
467,District of Columbia,2002,39070
416,District of Columbia,2003,45040
593,District of Columbia,2004,45040
365,District of Columbia,2005,44990
314,District of Columbia,2006,48480
263,District of Columbia,2007,50780
212,District of Columbia,2008,55590
594,District of Columbia,2009,55590
595,District of Columbia,2010,55590
161,District of Columbia,2011,55250
110,District of Columbia,2012,65250
596,District of Columbia,2013,65250
59,District of Columbia,2014,68280
8,District of Columbia,2015,70070
519,Florida,2001,36420
468,Florida,2002,38020
417,Florida,2003,38970
597,Florida,2004,38970
366,Florida,2005,42990
315,Florida,2006,45680
264,Florida,2007,45790
213,Florida,2008,44860
598,Florida,2009,44860
599,Florida,2010,44860
162,Florida,2011,45110
111,Florida,2012,46070
600,Florida,2013,46070
60,Florida,2014,46140
9,Florida,2015,48830
520,Georgia,2001,42580
469,Georgia,2002,42940
418,Georgia,2003,42440
601,Georgia,2004,42440
367,Georgia,2005,45930
316,Georgia,2006,49340
265,Georgia,2007,48640
214,Georgia,2008,46230
602,Georgia,2009,46230
603,Georgia,2010,46230
163,Georgia,2011,45970
112,Georgia,2012,48120
604,Georgia,2013,48120
61,Georgia,2014,49560
10,Georgia,2015,50770
521,Hawaii,2001,47440
470,Hawaii,2002,47300
419,Hawaii,2003,51830
605,Hawaii,2004,51830
368,Hawaii,2005,59590
317,Hawaii,2006,60470
266,Hawaii,2007,64020
215,Hawaii,2008,61520
606,Hawaii,2009,61520
607,Hawaii,2010,61520
164,Hawaii,2011,59050
113,Hawaii,2012,56260
608,Hawaii,2013,56260
62,Hawaii,2014,71220
11,Hawaii,2015,64510
522,Idaho,2001,38240
471,Idaho,2002,37720
420,Idaho,2003,42370
609,Idaho,2004,42370
369,Idaho,2005,44180
318,Idaho,2006,46210
267,Idaho,2007,49180
216,Idaho,2008,47420
610,Idaho,2009,47420
611,Idaho,2010,47420
165,Idaho,2011,47460
114,Idaho,2012,47920
612,Idaho,2013,47920
63,Idaho,2014,53440
12,Idaho,2015,51620
523,Illinois,2001,46170
472,Illinois,2002,42710
421,Illinois,2003,45150
613,Illinois,2004,45150
370,Illinois,2005,48400
319,Illinois,2006,48670
268,Illinois,2007,52510
217,Illinois,2008,53250
614,Illinois,2009,53250
615,Illinois,2010,53250
166,Illinois,2011,50640
115,Illinois,2012,51740
616,Illinois,2013,51740
64,Illinois,2014,54920
13,Illinois,2015,60410
524,Indiana,2001,40380
473,Indiana,2002,41050
422,Indiana,2003,42430
617,Indiana,2004,42430
371,Indiana,2005,42440
320,Indiana,2006,45410
269,Indiana,2007,47450
218,Indiana,2008,46520
618,Indiana,2009,46520
619,Indiana,2010,46520
167,Indiana,2011,44450
116,Indiana,2012,46160
620,Indiana,2013,46160
65,Indiana,2014,48060
14,Indiana,2015,51980
525,Iowa,2001,40980
474,Iowa,2002,41050
423,Iowa,2003,41380
621,Iowa,2004,41380
372,Iowa,2005,46500
321,Iowa,2006,48130
270,Iowa,2007,48910
219,Iowa,2008,50140
622,Iowa,2009,50140
623,Iowa,2010,50140
168,Iowa,2011,50220
117,Iowa,2012,53440
624,Iowa,2013,53440
66,Iowa,2014,57810
15,Iowa,2015,60860
526,Kansas,2001,41420
475,Kansas,2002,42620
424,Kansas,2003,44230
625,Kansas,2004,44230
373,Kansas,2005,42030
322,Kansas,2006,45550
271,Kansas,2007,48500
220,Kansas,2008,47880
626,Kansas,2009,47880
627,Kansas,2010,47880
169,Kansas,2011,46150
118,Kansas,2012,50000
628,Kansas,2013,50000
67,Kansas,2014,53440
16,Kansas,2015,54870
527,Kentucky,2001,38440
476,Kentucky,2002,36760
425,Kentucky,2003,36940
629,Kentucky,2004,36940
374,Kentucky,2005,36700
323,Kentucky,2006,39490
272,Kentucky,2007,39450
221,Kentucky,2008,41150
630,Kentucky,2009,41150
631,Kentucky,2010,41150
170,Kentucky,2011,39860
119,Kentucky,2012,41090
632,Kentucky,2013,41090
68,Kentucky,2014,42790
17,Kentucky,2015,42390
528,Louisiana,2001,33320
477,Louisiana,2002,34010
426,Louisiana,2003,33510
633,Louisiana,2004,33510
375,Louisiana,2005,37240
324,Louisiana,2006,36490
273,Louisiana,2007,41310
222,Louisiana,2008,39560
634,Louisiana,2009,39560
635,Louisiana,2010,39560
171,Louisiana,2011,40660
120,Louisiana,2012,39090
636,Louisiana,2013,39090
69,Louisiana,2014,42410
18,Louisiana,2015,45920
529,Maine,2001,36610
478,Maine,2002,36850
427,Maine,2003,37110
637,Maine,2004,37110
376,Maine,2005,43920
325,Maine,2006,45640
274,Maine,2007,47890
