State,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
New Mexico,"60,980","2,663","58,660","2,441","59,870","3,518","59,550","2,011","62,780","2,596","57,920","2,641","55,800","2,235","58,560","2,410","60,330","3,687","56,680","3,624","58,610","4,158","51,140","5,612","53,640","3,399","55,960","2,921","55,140","2,829","61,120","4,085","59,780","2,051","57,570","1,888","62,870","2,089","58,190","1,827","58,270","2,543","60,900","2,438","55,390","1,802","57,110","1,709","54,020","2,019","58,520","2,081","56,200","3,012","55,540","2,462","53,700","2,065","45,740","1,989","48,640","2,058","51,540","2,647","52,380","1,670","51,870","2,702","54,590","2,458","53,370","2,234","50,520","2,300","45,020","1,944","50,230","1,503","49,640","1,734","51,930","2,606","54,240","2,705"
New York,"81,600","1,979","78,920","2,089","81,660","3,103","80,320","2,804","84,940","2,009","80,700","2,066","75,310","2,107","76,420","2,561","76,500","1,750","72,870","2,770","68,180","2,236","63,620","2,886","68,550","2,091","61,440","2,042","66,510","1,321","67,420","1,788","68,940",822,"69,000",933,"69,380","1,301","70,110","1,438","70,580","1,237","68,730","1,219","67,520","1,376","67,600",934,"68,680",979,"67,950",969,"68,990","1,516","65,850","1,368","63,900","1,132","64,560","1,360","61,800","1,340","61,100",914,"62,040","1,088","62,290","1,061","65,390","1,107","67,340","1,089","70,400","1,013","67,470","1,559","63,840","1,103","62,600","1,186","60,100","1,330","57,910","1,096"
North Carolina,"68,610","3,286","67,660","3,115","70,430","2,353","70,700","1,928","72,290","1,949","64,020","2,112","60,630","2,713","61,610","2,154","66,950","2,028","63,820","1,687","58,730","2,147","59,000","3,787","52,470","2,620","53,550","1,667","59,380","2,049","59,360","2,604","57,530",791,"58,700","1,157","61,680","1,520","57,860","1,185","62,920","1,442","61,940","1,250","58,820","1,485","58,820","1,153","62,240","1,551","63,900","1,344","64,270","1,656","63,110","1,800","63,970","1,637","64,910","1,838","59,840","1,662","57,680","1,283","56,410","1,278","55,710","1,236","55,230","1,049","56,120","1,185","59,020","1,156","56,970","1,251","55,070","1,311","54,680","1,746","54,540","1,487","54,080","1,685"
North Dakota,"76,960","4,466","81,840","4,544","77,140","3,058","75,010","2,739","82,780","3,748","79,780","3,713","73,630","2,572","73,280","2,051","74,940","2,852","72,130","4,062","76,240","3,939","75,310","4,394","67,340","3,645","71,860","2,736","74,030","3,888","69,080","3,130","68,750","2,386","67,860","1,624","66,910","1,814","59,680","2,043","63,120","1,827","60,370","1,926","63,760","1,344","58,310","1,327","58,370","1,311","60,030","1,776","56,350","2,386","53,360","2,076","56,510","2,429","57,370","2,159","54,430","2,277","54,170","2,136","55,040","1,634","54,080","1,807","53,260","1,917","53,850","2,138","56,390","2,018","56,210","2,354","54,630","2,190","53,800","1,964","53,920","2,057","54,610","2,729"
Ohio,"73,770","2,968","70,200","2,302","70,200","3,281","70,640","1,804","76,440","3,560","73,930","2,704","74,270","2,315","73,140","2,313","67,220","2,358","66,960","2,459","62,320","1,749","64,610","3,117","59,070","1,765","57,180","2,220","58,650","1,576","62,140","2,022","62,990",859,"64,180","1,160","69,600","1,538","66,730",920,"66,130","1,565","66,280","1,504","68,670","1,467","68,760","1,252","68,150","1,078","71,650","1,221","68,120","1,706","68,540","2,775","64,500","1,596","62,110","1,938","65,380","1,849","61,020","1,119","61,240","1,288","62,990","1,177","61,270","1,561","63,980","1,535","64,870","1,464","64,730","1,484","62,360","1,343","62,820","1,471","64,010","1,434","60,790","1,293"
Oklahoma,"67,330","2,374","65,960","3,505","67,300","4,382","61,380","2,236","70,210","2,786","65,300","3,328","63,490","3,805","67,310","3,796","63,440","2,057","59,140","2,433","59,250","3,484","58,770","4,382","55,740","5,201","62,380","3,635","63,650","3,146","58,370","2,807","62,990","1,564","63,050","1,273","61,260","2,060","56,460","2,322","56,320","2,168","60,980","1,727","56,650","1,232","58,730",987,"58,070","1,125","54,090","1,182","56,380","2,572","59,390","2,169","55,960","1,830","50,020","1,985","49,240","1,647","51,700","2,324","51,400","2,920","50,720","2,156","52,370","2,219","51,980","2,225","52,900","2,763","55,220","1,764","52,480","2,139","52,400","2,179","53,920","1,943","55,600","1,888"
Oregon,"88,740","3,778","90,230","3,567","91,660","3,439","89,910","4,191","87,960","6,709","82,970","4,384","76,480","3,111","79,070","3,495","73,640","3,265","76,420","2,982","73,910","3,764","62,390","3,676","71,690","2,574","66,720","3,003","67,680","2,111","68,530","2,038","67,410","2,257","70,730","1,879","71,210","1,924","68,460","2,030","66,060","2,081","63,100","1,618","65,700","1,523","67,330","1,377","67,310","1,226","70,870","1,561","70,070","2,160","68,790","3,393","66,480","3,191","64,710","2,323","68,070","1,815","60,260","2,161","64,870","2,271","64,040","4,090","62,100","2,236","62,410","2,059","63,770","3,208","64,750","2,683","60,580","2,642","61,970","2,506","55,670","2,649","56,260","1,959"
Pennsylvania,"79,820","3,597","75,070","2,697","81,330","2,300","82,810","3,993","83,430","3,813","77,400","1,961","75,000","2,259","77,310","3,369","75,930","2,535","75,870","2,798","69,260","2,845","70,220","3,738","68,690","2,045","66,890","1,811","65,560","2,225","65,430","2,042","66,130","1,286","70,290",805,"68,660","1,321","70,480","1,263","69,270","1,115","67,900","1,599","67,740","1,228","68,460","1,281","70,940","1,179","70,330","1,174","65,140","1,968","68,700","1,902","66,960","1,721","63,630","1,776","64,600","1,278","61,420","1,253","60,670","1,358","59,940","1,338","62,460","1,263","61,830","1,467","64,130","1,529","62,400","1,160","61,520","1,309","59,550","1,238","58,170","1,368","53,490","1,312"
Rhode Island,"81,860","4,838","83,860","4,284","83,970","4,727","93,790","3,956","82,920","5,886","74,690","4,016","80,030","4,949","81,240","5,151","76,620","3,522","69,980","4,079","73,600","5,023","71,710","4,904","73,610","2,718","72,250","3,300","64,410","2,999","69,910","2,343","70,890","1,985","72,800","3,280","76,840","2,621","78,120","2,650","74,030","2,178","73,790","3,036","70,550","1,971","68,330","1,409","74,570","1,871","70,370","1,698","73,700","3,416","71,640","4,679","62,110","3,989","67,430","1,889","66,170","2,569","61,160","2,530","65,590","3,028","61,040","2,874","63,420","2,244","68,140","2,505","67,330","3,026","69,630","3,696","68,460","3,484","66,390","2,652","62,610","2,288","56,820","2,229"
South Carolina,"69,100","2,154","64,220","2,704","70,040","2,420","70,590","2,317","73,320","2,108","68,910","2,498","66,740","2,610","67,270","2,543","67,660","3,926","58,240","2,847","56,400","2,817","55,460","3,040","55,700","3,781","57,220","2,780","52,650","2,236","56,470","1,977","56,430","1,528","57,640","1,533","62,670","2,201","57,600","1,958","60,190","1,801","59,560","1,572","60,720","1,769","60,910","1,972","61,540","1,668","62,650","1,563","62,900","2,981","58,580","2,307","61,150","2,872","63,200","2,562","54,400","2,620","57,170","2,182","51,000","1,879","55,320","2,876","56,490","2,339","61,250","2,948","53,190","2,367","59,580","2,683","60,610","2,749","54,950","2,161","50,940","2,192","53,390","2,456"
South Dakota,"81,740","4,466","69,850","3,533","82,750","2,973","82,110","5,069","75,950","4,463","71,330","3,169","69,650","4,878","69,620","4,446","71,540","3,829","69,180","3,271","66,600","4,446","68,010","3,714","69,330","3,858","63,680","2,197","62,030","2,820","61,420","2,770","62,910","1,770","70,560","1,361","65,800","1,276","66,040","2,386","64,560","2,048","63,280","1,532","62,360","1,584","61,010","1,535","64,700","1,396","60,830","1,146","61,810","1,629","57,730","1,784","53,000","2,044","53,830","1,829","55,350","3,013","56,950","2,270","54,290","2,036","52,670","1,342","50,680","1,604","52,380","1,829","53,890","2,233","52,020","1,640","51,180","1,445","49,770","1,661","46,130","1,785","51,030","2,440"
Tennessee,"72,700","2,948","67,980","2,666","69,610","2,956","64,310","2,111","66,940","3,270","67,250","1,730","67,680","2,608","67,600","2,646","63,940","1,727","59,460","2,146","54,880","2,920","55,210","4,373","54,110","3,736","55,400","3,102","55,530","3,357","52,260","1,702","55,630","1,356","54,290","1,656","58,390","1,582","59,160","1,098","58,950","1,782","58,610","1,627","59,210","1,864","59,650","1,790","58,360","1,290","56,860","1,551","63,010","2,260","60,030","2,301","54,680","2,424","56,130","1,982","54,300","2,373","54,860","1,969","49,140","1,627","48,780","1,831","50,300","1,882","48,160","1,852","50,540","2,917","48,660","2,373","51,250","1,924","45,670","2,211","45,200","1,416","44,120","1,514"
Texas,"79,060","2,084","77,600","1,905","75,480","1,708","80,020","2,267","79,720","2,091","71,720","1,646","73,540","1,623","72,560","2,083","72,410","1,752","70,950","1,619","67,630","1,687","65,450","1,732","67,510","2,054","66,910","1,224","64,420","1,514","64,010","1,570","65,180","1,020","63,570",922,"65,280",992,"62,960","1,204","61,970",628,"63,730",845,"61,970","1,202","64,670",907,"66,640",835,"64,390","1,309","66,740","1,760","63,010","1,166","62,610","1,571","60,300","1,391","59,950","1,186","58,910","1,255","56,230","1,200","56,070","1,272","57,040","1,288","60,170","1,526","57,860","1,249","58,250","1,358","59,820","1,541","60,440","1,286","60,370","1,388","60,530","1,401"
Utah,"101,200","4,985","99,610","4,190","98,150","4,746","98,260","3,369","99,910","4,130","92,450","2,791","85,400","2,648","87,280","2,753","84,030","2,786","83,240","3,093","79,570","4,056","77,730","1,977","80,170","5,267","75,180","3,794","72,890","2,179","76,790","2,657","80,300","2,180","85,510","2,087","75,880","1,727","79,420","2,429","82,000","1,949","78,310","1,427","77,750","1,423","77,090","1,846","77,210","2,611","79,300","1,736","79,440","2,786","78,000","2,421","76,350","3,186","67,530","2,425","68,260","1,720","68,420","1,994","70,050","2,431","68,700","2,297","57,620","2,795","64,250","2,170","68,660","2,267","61,400","2,121","64,190","2,889","65,740","2,026","64,170","1,785","60,620","1,932"
Vermont,"85,190","4,567","75,060","4,328","85,190","3,887","78,680","4,790","87,830","3,646","84,050","2,819","77,930","4,048","78,080","3,834","75,760","1,699","74,740","3,294","76,210","3,889","83,410","5,109","69,830","3,795","71,620","3,905","68,120","2,636","75,740","3,043","71,830","1,974","69,330","1,343","67,180","1,982","75,570","1,841","75,860","1,958","72,860","1,955","68,260","1,542","69,260","1,337","66,530","1,540","66,030","1,536","71,740","2,427","69,330","2,802","62,570","3,083","58,990","2,279","63,290","2,324","68,580","3,651","60,810","1,871","65,700","2,674","59,970","2,513","66,290","2,837","69,950","2,539","67,640","2,513","61,490","3,325","61,530","2,509","66,110","2,395","59,360","2,584"
Virginia,"96,490","4,469","88,550","4,244","89,890","3,306","96,180","3,644","96,120","3,613","92,550","3,702","86,650","4,656","87,240","4,009","82,750","3,033","77,240","3,064","83,050","3,698","83,910","3,489","86,090","3,236","83,290","2,791","82,250","2,329","81,750","2,661","83,060","1,638","84,760","1,979","83,860","1,935","83,040","2,315","77,670","1,773","78,720","1,718","86,440","2,466","79,950","2,078","81,940","1,872","78,650","1,776","78,830","3,054","76,340","3,865","76,670","3,386","71,490","2,660","67,780","2,603","72,110","2,933","71,310","2,715","76,620","2,726","74,330","2,748","74,760","2,234","76,260","2,693","76,180","3,078","72,580","2,451","74,330","2,687","72,280","3,366","69,740","2,298"
Washington,"93,440","3,434","92,980","2,738","98,150","3,703","95,180","3,624","97,470","3,451","95,640","3,629","87,550","2,599","92,290","4,047","87,550","2,605","84,480","4,087","74,150","2,755","81,390","4,311","76,530","2,799","80,140","2,898","74,670","2,605","76,060","2,790","82,910","1,646","77,440","2,763","82,330","2,461","79,560","1,809","75,770","1,563","76,850","1,644","74,960","2,201","72,780","1,553","69,300","2,061","70,920","2,020","78,450","3,588","83,500","2,428","79,540","3,061","66,870","2,932","66,560","2,343","64,230","2,279","69,790","2,175","68,000","2,501","69,870","2,437","68,450","2,641","71,440","3,290","75,430","2,403","66,100","2,681","67,240","2,376","61,020","1,922","65,770","2,164"
West Virginia,"60,410","1,917","54,540","2,478","52,450","2,517","60,800","2,548","63,480","3,540","60,670","1,604","57,460","1,563","55,550","1,817","55,230","2,483","53,800","3,935","49,650","2,755","54,840","4,398","51,230","3,425","56,120","3,575","54,930","2,320","57,930","3,410","55,590","1,253","51,950","1,920","59,660","1,402","55,860","1,765","54,520","1,610","51,370","1,806","51,700","1,567","47,290","1,126","48,390","1,099","49,050","1,076","50,540","1,982","47,020","1,373","49,060","2,347","46,030","2,372","46,560","1,628","45,140","2,331","43,890","1,920","40,660","1,789","47,610","1,888","47,190","2,434","48,450","1,884","45,160","2,170","41,630","1,882","41,180","2,264","40,640","2,105","44,280","1,598"
Wisconsin,"79,690","3,750","76,240","2,669","78,320","3,508","78,860","5,646","79,620","2,746","75,130","2,446","77,690","3,559","77,650","4,495","74,490","2,297","69,630","1,868","72,910","2,704","65,860","3,347","70,350","2,977","68,400","2,202","68,380","2,715","68,190","1,943","70,340","1,107","70,010","1,165","72,690","1,474","75,150","1,666","66,800","1,762","70,400","2,058","73,010","1,543","73,940","1,524","73,950","1,831","75,190","1,588","78,780","3,240","72,770","2,238","70,670","2,053","72,930","3,245","76,640","2,466","67,790","2,437","62,180","2,623","66,810","2,200","64,040","2,094","65,460","1,912","65,100","2,772","69,010","2,282","63,800","3,412","66,110","2,009","59,110","2,952","54,530","2,158"
Wyoming,"77,200","4,350","76,000","2,391","79,570","4,388","76,570","2,581","76,990","4,459","75,020","4,669","72,860","3,896","70,780","3,835","72,010","3,888","76,540","2,543","69,910","2,535","85,870","5,078","70,920","4,034","74,110","3,634","71,600","2,991","70,700","2,954","72,040","2,926","72,930","2,156","69,090","1,932","68,390","2,185","66,900","2,256","69,880","1,764","67,150","1,578","64,050","1,572","64,780","1,902","66,090","1,761","64,260","2,217","62,070","2,317","59,660","2,572","56,430","1,564","59,000","2,126","63,480","3,540","57,630","2,284","60,600","2,848","59,750","2,843","62,800","2,112","65,990","2,881","61,640","2,555","66,760","3,528","58,930","2,159","56,140","2,667","62,610","1,922"
