State,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
Florida,"72,200","1,537","67,960","2,028","66,890","1,690","67,570","2,122","69,000","1,866","65,550","2,264","64,960","1,760","65,690","2,222","63,730","1,040","61,340","1,753","57,920","1,193","61,790","3,584","60,970","2,003","59,370","1,430","59,250","1,495","59,680","2,091","62,650",969,"61,340","1,173","64,910",808,"66,410",914,"64,310","1,212","62,400",973,"61,490","1,198","61,250","1,334","59,400",680,"64,800","1,239","61,810","1,082","61,470","1,351","57,930","1,041","55,860",935,"55,660","1,145","56,110","1,211","55,880","1,384","54,860","1,055","56,050",977,"56,880",968,"58,310","1,062","59,280","1,108","59,250","1,152","57,160","1,351","54,270","1,111","52,020","1,230"
Georgia,"72,420","3,218","70,420","3,099","68,860","2,538","69,330","2,413","66,940","2,106","66,960","2,438","70,960","2,800","69,770","2,979","66,650","2,091","63,780","1,760","62,210","2,522","59,830","5,393","60,400","2,494","62,010","1,938","60,390","3,261","59,750","2,468","59,500","1,724","63,210","1,592","68,950","1,528","71,740","1,759","68,710","1,254","63,090",951,"66,960","1,545","69,170","1,783","69,440","1,750","69,880","1,386","68,010","2,338","68,080","2,076","65,440","1,635","59,250","3,037","63,810","1,679","60,280","2,371","61,980","2,455","57,760","2,463","55,970","2,238","58,750","2,528","61,560","2,282","61,990","2,091","64,640","3,339","60,960","2,782","53,520","2,004","52,540","2,143"
Hawaii,"97,360","4,928","94,620","3,859","92,050","4,244","94,560","2,839","104,000","4,214","96,100","4,177","90,070","2,878","90,040","2,725","89,820","3,126","81,050","3,568","89,410","3,359","81,780","4,988","78,180","2,810","72,500","2,906","77,560","3,325","80,630","3,699","76,400","2,777","84,120","2,025","90,750","3,012","87,910","2,284","89,140","1,813","86,580","2,602","81,790","2,102","76,200","2,208","77,370","2,048","85,960","1,990","76,780","3,160","71,890","4,172","73,060","2,497","76,160","3,451","80,190","2,418","80,940","4,641","83,510","3,443","84,470","2,878","76,610","3,353","82,960","3,014","78,310","2,968","77,060","3,458","84,740","2,599","72,550","3,017","73,640","3,677","75,920","3,197"
Idaho,"73,910","2,417","75,460","2,763","86,130","2,058","78,060","2,326","78,000","2,544","70,450","2,885","72,810","2,764","73,680","2,937","70,440","1,570","64,850","1,583","67,080","3,229","61,710","6,982","65,910","4,655","61,750","4,089","62,340","4,582","63,720","2,531","64,220","1,735","64,840","2,299","69,720","1,830","67,190","1,907","66,090","1,876","68,280","2,135","66,860","1,550","60,750","1,806","62,370","1,575","62,720","1,988","61,760","2,438","64,590","1,919","59,620","2,390","63,280","2,445","61,150","2,088","60,410","2,448","60,700","2,590","55,570","1,753","53,720","2,116","53,940","2,078","55,110","2,130","54,720","2,343","50,220","2,018","51,900","1,701","52,790","1,520","55,450","2,532"
Illinois,"87,820","3,527","81,120","2,459","88,750","1,983","86,960","2,605","87,950","3,103","84,140","2,703","80,730","2,040","79,060","2,446","76,440","2,193","75,900","2,511","68,940","2,040","68,670","4,185","72,820","2,220","66,670","1,711","66,510","1,805","68,700","1,996","72,580","1,292","72,820","1,812","74,430","1,347","70,760","1,697","72,410","1,475","70,930","1,267","71,250","1,692","68,800","1,379","75,300","1,434","76,820","1,611","79,930","1,773","76,030","2,173","73,690","1,396","72,110","2,018","71,240","1,637","67,200","1,531","64,320","1,586","63,290","1,508","65,580","1,469","69,370","1,543","69,960","1,393","68,890","1,759","65,530","1,297","66,320","1,586","63,230","1,330","62,450","1,491"
Indiana,"76,910","3,445","72,810","2,825","78,600","2,821","78,150","4,885","78,840","3,679","71,850","2,396","71,920","2,025","72,050","2,479","69,850","3,583","65,310","2,113","60,330","2,439","62,970","5,740","64,360","4,100","59,480","2,303","58,380","3,033","62,490","3,485","60,830","1,490","63,610","1,620","67,260","1,779","66,010","1,797","63,490","1,646","65,160","1,772","66,940","1,513","66,120","1,205","65,850","1,546","68,150","1,132","70,450","2,966","69,960","2,798","69,410","2,112","64,080","2,366","62,470","2,702","53,360","1,977","57,700","2,664","57,230","2,638","55,720","1,896","57,400","2,343","57,890","2,284","61,350","2,172","54,490","2,284","56,850","1,774","57,650","1,592","59,860","1,867"
Iowa,"80,860","4,593","79,350","3,488","81,110","3,929","80,510","3,915","78,080","4,739","82,430","3,491","77,670","5,825","77,680","6,745","73,590","3,093","76,450","4,114","72,570","4,300","76,590","7,810","69,840","2,504","68,870","2,755","65,960","2,593","66,380","1,817","69,630","2,107","68,560","1,768","69,330","2,057","69,970","2,168","69,570","2,003","66,790","2,341","65,300","1,395","66,120","1,856","66,830","1,848","68,360","1,352","70,900","1,949","65,190","2,117","60,300","2,288","60,550","2,784","66,470","1,763","63,360","2,452","56,110","2,427","57,660","1,950","58,730","2,082","58,170","2,102","58,710","1,770","56,710","2,515","53,690","2,207","56,180","1,876","53,210","1,536","52,220","1,959"
Kansas,"84,830","5,520","75,950","3,577","85,080","4,718","85,500","4,249","86,470","5,117","76,700","2,432","69,630","2,370","70,820","3,546","70,740","4,069","68,930","4,687","67,090","3,594","60,880","5,724","65,550","1,907","64,440","2,335","60,610","2,561","62,370","2,459","61,390","2,455","65,470","1,928","68,740","2,559","66,230","1,820","62,870","1,474","63,220","2,692","69,790","2,092","68,650","1,687","67,540","1,818","68,470","1,948","64,430","3,585","64,640","2,847","65,100","2,881","59,410","2,662","56,780","1,723","54,250","2,038","58,270","2,239","60,870","2,281","60,250","1,921","63,770","2,513","60,040","2,030","59,650","2,690","61,900","2,178","59,850","1,956","57,940","2,627","64,750","2,398"
Kentucky,"61,980","3,789","58,090","4,222","62,290","3,388","66,400","2,753","65,800","3,018","65,440","4,400","60,790","2,307","62,840","1,669","56,500","2,497","53,250","2,850","53,710","1,983","57,140","4,996","53,680","2,386","52,940","2,448","52,350","2,426","55,670","3,823","58,570","1,803","56,260","1,110","55,920","1,717","57,410","1,528","54,900","1,343","54,820","1,875","58,280","1,352","59,220","1,408","62,690","1,646","60,480","1,414","58,200","2,560","63,840","2,661","59,710","2,961","59,090","2,624","55,780","2,150","50,940","1,969","47,710","2,136","47,110","2,525","48,880","2,151","52,820","2,586","52,040","2,696","46,450","1,869","50,020","2,272","49,710","2,516","44,140","1,902","46,480","2,837"
Louisiana,"57,650","2,368","60,640","2,104","64,060","3,224","59,880","1,875","61,120","1,670","59,950","2,104","53,310","2,555","53,730","1,778","52,540","1,491","57,690","2,688","53,230","2,337","59,110","3,238","50,450","3,638","50,370","2,076","53,400","2,534","53,220","4,399","62,370","2,489","54,100","2,032","58,560","1,328","53,050","2,072","55,710","1,940","56,080","1,913","52,870","1,740","54,780","2,026","54,340","1,949","51,230","1,381","56,330","2,146","55,880","2,923","59,370","2,768","55,170","2,352","52,300","2,040","49,180","2,875","51,500","2,278","51,030","2,291","52,040","2,378","47,760","3,368","51,100","4,151","47,830","3,439","51,660","2,076","52,260","2,391","53,850","1,851","49,820","2,314"
Maine,"75,740","4,165","78,150","3,686","79,660","3,463","74,510","4,021","78,660","5,913","70,370","6,817","65,240","3,819","63,220","2,626","63,330","4,167","63,760","2,423","64,910","2,725","69,970","4,918","63,810","2,487","63,350","2,896","65,270","2,605","64,910","2,285","65,210","2,387","64,580","1,964","67,890","1,982","66,360","2,613","65,710","2,144","63,620","1,883","58,560","1,491","59,360","1,363","59,710","1,553","62,150","1,423","67,040","2,275","62,760","1,847","58,490","2,322","63,260","2,208","63,360","2,036","58,070","2,944","53,710","2,355","59,410","2,058","57,320","2,577","58,540","3,351","63,080","3,105","61,600","2,198","57,100","2,466","58,590","2,426","52,170","2,042","54,280","2,324"
Maryland,"102,000","5,939","112,500","5,568","109,000","5,031","110,900","4,955","113,000","3,881","103,400","3,996","100,500","4,458","99,230","4,469","91,850","3,226","92,450","3,382","95,610","5,363","88,300","3,781","83,090","5,584","92,570","2,385","90,470","2,791","86,950","3,111","88,120","2,298","87,120","2,419","93,030","2,354","92,560","2,328","90,530","2,210","87,900","2,605","82,550","1,930","90,860","2,468","87,300","2,694","90,950","2,335","90,060","3,825","88,070","3,805","83,330","2,634","80,210","4,676","76,800","3,045","75,090","2,682","78,180","2,509","74,630","3,262","76,000","2,915","82,830","3,402","80,500","2,653","85,290","2,791","84,610","3,358","76,560","2,592","76,620","2,456","78,100","3,026"
