State,count,mean,std,min,25%,50%,75%,max
Alabama,14.0,1.7749771789976978,4.1318767036125115,-4.249100719424459,-0.22141706924315718,0.0,4.4941290582172835,11.22529644268775
Alaska,14.0,2.1514853838470676,6.715165765762713,-10.251601812783251,0.0,0.47414564322776354,7.422611449332283,11.644806806097119
Arizona,14.0,1.5302763534850796,4.128221345232078,-6.955503512880568,0.0,0.6000857265323623,3.6400749291355448,9.910128734515421
Arkansas,14.0,1.9947000012698661,6.6667695790265915,-5.520581113801448,-2.4380914184560427,0.0,3.5122312762002563,15.120451050743199
California,14.0,2.211040000051767,3.687766939073087,-6.3848447640764805,0.0,1.5189652646871,5.153068735147082,6.877897990726423
Colorado,14.0,2.2588784088067206,4.783894594382788,-3.7906137184115507,-0.2453385672227637,0.0,5.674332879555916,10.406342913776022
Connecticut,14.0,2.306685797954292,3.4448756342693563,-1.7884439009477227,0.0,0.9930011633873637,3.291230589328925,9.78184377199156
Delaware,14.0,1.2824603637634049,6.484064474761344,-10.409806073911454,0.0,0.05040322580645018,3.66042288543883,17.459669185215443
District of Columbia,14.0,4.056810882001175,6.551096775614426,-5.100801554529999,0.0,1.3107791446983041,7.004015652176471,18.09954751131222
Florida,14.0,2.1672865782215567,3.3784925418741523,-2.0310111378030182,0.0,0.3990474744154371,3.919564141650933,10.315627405696691
Georgia,14.0,1.3217022974923793,3.552114010619702,-4.954769736842102,-0.4218040233614495,0.0,2.8547602945823423,8.223374175306319
Hawaii,14.0,2.580431620711724,9.235906458204159,-9.421510811569789,-3.0025496617045815,0.0,4.772199218223267,26.590828297191614
Idaho,14.0,2.2750117427378997,4.9619764980706655,-3.5786905246035006,0.0,0.0421762969211259,4.514102092486877,12.327677624602341
Illinois,14.0,2.0490978795381127,4.905421887331231,-7.494043751353696,0.0,0.983553309798535,6.037823340356841,9.996358339402779
Indiana,14.0,1.8746448658559625,3.4632294777962684,-4.449699054170253,0.0,0.8414027380936884,4.048843168867322,8.156471077819383
Iowa,14.0,2.9295207558463026,3.8300455305695618,0.0,0.03988831272437321,1.2122542656877622,4.833271953172524,12.3731271145481
Kansas,14.0,2.111342893519756,4.259455767217541,-4.97399954781822,0.0,1.3379491017964096,5.801691974774132,8.374970259338577
Kentucky,14.0,0.7452173786958934,3.109553694901345,-4.370447450572323,-0.512599531410432,0.0,2.4367658949959345,7.602179836512257
Louisiana,14.0,2.455672790479036,5.586250967680231,-4.236262406197044,-1.102616877389004,0.0,6.902409050844371,13.209098383118656
Maine,14.0,2.476558976337683,5.202828852967441,-1.8371688261458186,0.0,0.32777929527451066,4.676467371956655,18.35084882780922
Maryland,14.0,2.4439450321478,5.692840299968736,-7.2682148555220705,0.0,1.5391864300298375,5.3406898205652915,15.675779009749569
Massachusetts,14.0,1.9525236483283983,3.880892461097838,-4.574162679425841,0.0,0.2764176275469876,4.513088082626488,9.929356357927777
Michigan,14.0,1.3699731778940714,2.959585174165932,-5.172031076581574,0.0,1.1653389750944099,3.566867033873838,5.922055301545837
Minnesota,14.0,1.9836656192892757,3.7945486953372387,-5.390974853599728,0.0,2.4332270305737924,3.6795170943654085,8.80258899676376
Mississippi,14.0,2.22480819186667,6.285740165051132,-10.829885616938428,0.0,0.22914757103574823,5.899829652181587,12.729766803840882
Missouri,14.0,2.675822167498024,4.222259940626269,-1.759597806215718,0.0,1.1779966527592944,3.6447281931093425,13.806270096463024
Montana,14.0,3.5798467665390876,6.122253168457958,-6.107226107226104,0.0,0.29354207436399493,9.144681032776646,13.328897760035474
Nebraska,14.0,2.456976412890787,4.580281269785841,-6.148867313915862,0.0,1.2991733366618297,5.540836689824785,9.639266706091076
Nevada,14.0,1.1099612691477443,5.25402619680052,-14.066496163682862,0.0,0.5529102210279135,4.053872369432626,8.44223190209501
New Hampshire,14.0,2.880461657431248,3.9229527180812362,-2.0716188221367227,0.0,1.4946282079457585,6.606490778533519,9.05276746812973
New Jersey,14.0,2.1756600760430103,6.067717211964219,-11.093153100205699,0.0,1.3560564412680942,6.585531938389661,13.059768064228372
New Mexico,14.0,2.3445638764767156,4.992872848360237,-5.0946798917944065,-0.21377672209025866,0.0,6.156464258342481,10.937054970093985
New York,14.0,2.4223945688683934,4.944519526352763,-5.845181674565558,0.0,0.9249372796403255,2.880463884369844,13.905201342281881
North Carolina,14.0,2.2583305992605864,6.559622034285895,-8.095554080955536,-0.9997701677775195,0.0,7.7728048294811956,12.821888412017168
North Dakota,14.0,3.6119384157512835,6.360124559729127,-5.45035402601679,0.0,0.5727856943280263,7.951760979150869,15.006090133982951
Ohio,14.0,1.8443485411427731,4.514616762033714,-4.858299595141702,0.0,0.78125,3.4170394095017267,11.852185669220372
Oklahoma,14.0,2.077838946425659,3.7779308660642643,-2.499483577773187,-0.07738340899711427,0.0,4.446161500700995,11.277033985581863
Oregon,14.0,2.8832557340762404,4.104127069702,-0.3866228494104007,0.0,0.8846900544807079,5.366860062178919,13.711857860177679
Pennsylvania,14.0,2.439289723510469,3.899370037049609,-2.8988326848249035,0.0,0.5058823529411782,5.760095096603663,9.461663947797728
Rhode Island,14.0,1.6116666939544249,6.5121594157058,-7.907588279489108,-1.3420033204205872,0.0,5.190228091830051,14.358555986130938
South Carolina,14.0,1.5827436067232463,4.794787726256022,-4.933586337760909,0.0,0.09273979862215453,2.8300510129689425,11.585058051489149
South Dakota,14.0,2.4964611879350285,5.233684665423165,-8.488372093023255,0.0,2.9934526567060638,5.127680740970875,11.158983196897898
Tennessee,14.0,2.0605591696222456,3.0556360419692927,-3.6407766990291246,0.0,1.4988350112102644,3.432155526548736,8.257090576395232
Texas,14.0,2.3807592091406096,3.066056671985226,-2.1917808219178103,0.0,2.3552690260191134,5.307932547386235,6.326483491110602
Utah,14.0,2.6302180772164983,6.652265448598701,-11.272785417332909,0.0,0.5492184199408556,4.988050462499355,16.831683168316825
Vermont,14.0,2.89873966365633,6.121341837214754,-8.830319353597538,0.0,1.436224220716975,6.608771705017102,17.19833564493758
Virginia,14.0,1.5607108496456514,4.848753407386936,-7.058645707376055,0.0,0.5081464752379361,3.4810307067573207,10.376788232923628
Washington,14.0,3.4551648980923164,5.237280876475898,-5.016883743367096,0.0,2.772817924448734,6.539576536363817,13.831047909260196
West Virginia,14.0,2.8797705614519917,6.976793532617011,-9.741031123782374,0.0,2.068388330942128,9.231241169033993,11.580381471389645
Wisconsin,14.0,1.5594013340468673,5.157508391342242,-4.562672176308535,-0.11700468018720489,0.0,1.5629629789140065,15.767077267637175
Wyoming,14.0,3.171384044036174,3.895262334680383,-3.1646670144322764,0.0,2.903710696877171,5.424641849044448,9.437833401723438
